chargeDescription,codeUcr,count,comb,category
DISCHARGE POLLUTANTS INTO STORMWATER SYSTEM (M),A,1,DISCHARGE POLLUTANTS INTO STORMWATER SYSTEM (M) - A,0
DISORDERLY CONDUCT WITH CONCEALED CAMCORDER,A,1,DISORDERLY CONDUCT WITH CONCEALED CAMCORDER - A,0
DISORDERLY CONDUCT WITH CONCEALED CAMCORDER (M),A,10,DISORDERLY CONDUCT WITH CONCEALED CAMCORDER (M) - A,0
DISORDERLY CONDUCT: DISTRIBUTION OF INTIMATE BODY PART IMAGES,A,13,DISORDERLY CONDUCT: DISTRIBUTION OF INTIMATE BODY PART IMAGES - A,0
DISORDERLY CONDUCT: DISTRIBUTION OF INTIMATE BODY PART IMAGES (M),A,37,DISORDERLY CONDUCT: DISTRIBUTION OF INTIMATE BODY PART IMAGES (M) - A,0
"DISPLAY FALSE/ALTERED PERMIT, STICKER, PLATE, ETC. (I)",A,1,"DISPLAY FALSE/ALTERED PERMIT, STICKER, PLATE, ETC. (I) - A",0
"DISPLAY PERMIT, STICKER, PLATE NOT ISSUED FOR THAT VEHICLE (I)",A,2,"DISPLAY PERMIT, STICKER, PLATE NOT ISSUED FOR THAT VEHICLE (I) - A",0
DISPLAY UNAUTH DISABLED PERS PLACARD (M),A,4,DISPLAY UNAUTH DISABLED PERS PLACARD (M) - A,0
DISTRIBUTE INTIMATE IMAGE CAUSING SERIOUS EMOTIONAL DISTRESS (M),A,7,DISTRIBUTE INTIMATE IMAGE CAUSING SERIOUS EMOTIONAL DISTRESS (M) - A,0
DISTURBING THE PEACE,A,1,DISTURBING THE PEACE - A,0
DOMESTIC VIOLENCE RESTRAINING ORDERS,A,2,DOMESTIC VIOLENCE RESTRAINING ORDERS - A,0
DRIVE MOTOR VEHICLE IN VIOLATION OF LICENSE RESTRICTIONS (M),A,5,DRIVE MOTOR VEHICLE IN VIOLATION OF LICENSE RESTRICTIONS (M) - A,0
"DUI ALC.9,94 PERCENT W/PASS FOR HIRE",A,1,"DUI ALC.9,94 PERCENT W/PASS FOR HIRE - A",0
DUI ALCOHOL/DRUG (M),A,177,DUI ALCOHOL/DRUG (M) - A,0
DUI ALCOHOL/DRUGS:CAUSING BODILY INJURY (F),A,7,DUI ALCOHOL/DRUGS:CAUSING BODILY INJURY (F) - A,0
DUI DRUG (M),A,200,DUI DRUG (M) - A,0
DUI DRUG:CAUSING BODILY INJURY (F),A,4,DUI DRUG:CAUSING BODILY INJURY (F) - A,0
DUI DRUG:CAUSING BODILY INJURY (M),A,1,DUI DRUG:CAUSING BODILY INJURY (M) - A,0
DUI DRUGS,A,1,DUI DRUGS - A,0
ENTERTAINMENT PERMIT REQUIRED (M),A,1,ENTERTAINMENT PERMIT REQUIRED (M) - A,0
EVADE RAILROAD FARE (M),A,3,EVADE RAILROAD FARE (M) - A,0
EXTORT W/THREATENING LETTER,A,1,EXTORT W/THREATENING LETTER - A,0
EXTORTION,A,13,EXTORTION - A,0
EXTORTION (F),A,105,EXTORTION (F) - A,0
FAIL TO APPEAR AFTER WRITTEN PROMISE (M),A,3,FAIL TO APPEAR AFTER WRITTEN PROMISE (M) - A,0
FAIL TO NOTIFY DMV:OWNERSHIP TRANSFR (I),A,1,FAIL TO NOTIFY DMV:OWNERSHIP TRANSFR (I) - A,0
FAIL TO PROVIDE WRITTEN PROMISE AT ARREST,A,1,FAIL TO PROVIDE WRITTEN PROMISE AT ARREST - A,0
FAILURE TO APPEAR ON FELONY CHARGE (F),A,5,FAILURE TO APPEAR ON FELONY CHARGE (F) - A,0
FAILURE TO APPEAR ON MISDEMEANOR CHARGE (M),A,2,FAILURE TO APPEAR ON MISDEMEANOR CHARGE (M) - A,0
FAILURE TO PRESENT LICENSE OR SATISFACTORY IDENTIFICATION (I),A,1,FAILURE TO PRESENT LICENSE OR SATISFACTORY IDENTIFICATION (I) - A,0
FALSE BOMB REPORT TO ANY PERS (All Other Offenses) (F),A,8,FALSE BOMB REPORT TO ANY PERS (All Other Offenses) (F) - A,0
FALSE BOMB/ETC REPORT TO ANY PERSON (Intimidation) (F),A,1,FALSE BOMB/ETC REPORT TO ANY PERSON (Intimidation) (F) - A,0
FALSE BOMB/ETC REPORT TO ANY PERSON (M),A,3,FALSE BOMB/ETC REPORT TO ANY PERSON (M) - A,0
FALSE IMPRISON W/VIOL/MENACE/FRAUD/DECEIT (F),A,17,FALSE IMPRISON W/VIOL/MENACE/FRAUD/DECEIT (F) - A,0
FALSE IMPRISONMENT (M),A,13,FALSE IMPRISONMENT (M) - A,0
FALSE IMPRISONMENT OF ELDER (F),A,1,FALSE IMPRISONMENT OF ELDER (F) - A,0
FALSE IMPRISONMENT:USE FOR PROTECTION/SHIELD (F),A,1,FALSE IMPRISONMENT:USE FOR PROTECTION/SHIELD (F) - A,0
FALSE IMPRISONMENT/FEL,A,1,FALSE IMPRISONMENT/FEL - A,0
FALSE IMPRISONMENT/MIS,A,3,FALSE IMPRISONMENT/MIS - A,0
FELONY BENCH WARRANT (OUR AGENCY),A,2553,FELONY BENCH WARRANT (OUR AGENCY) - A,0
FLASH INCARCERATION,A,788,FLASH INCARCERATION - A,0
FUGITIVE FROM JUSTICE:ARREST W/OUT WARRANT (F),A,26,FUGITIVE FROM JUSTICE:ARREST W/OUT WARRANT (F) - A,0
GIVE/PLACE FALSE BOMB (F),A,1,GIVE/PLACE FALSE BOMB (F) - A,0
HIT & RUN PROPERTY DAMAGE:LOCATE/ETC OWNER REQUIREMENTS,A,1,HIT & RUN PROPERTY DAMAGE:LOCATE/ETC OWNER REQUIREMENTS - A,0
HUMAN TRAFFICKING OF VICTIM UNDER 18 YEARS OF AGE (F),A,9,HUMAN TRAFFICKING OF VICTIM UNDER 18 YEARS OF AGE (F) - A,0
HUMAN TRAFFICKING TO OBTAIN FORCED LABOR OR SERVICE,A,1,HUMAN TRAFFICKING TO OBTAIN FORCED LABOR OR SERVICE - A,0
HUMAN TRAFFICKING TO OBTAIN FORCED LABOR OR SERVICE (F),A,3,HUMAN TRAFFICKING TO OBTAIN FORCED LABOR OR SERVICE (F) - A,0
HWY VEH:OPERATE OHV IN MANNER LIKELY TO CAUSE DAMAGE TO LAND/ETC,A,1,HWY VEH:OPERATE OHV IN MANNER LIKELY TO CAUSE DAMAGE TO LAND/ETC - A,0
IMPERSATE TO GET PRESCRIPTION DRUG (M),A,1,IMPERSATE TO GET PRESCRIPTION DRUG (M) - A,0
IMPERSONATE STATE DEPUTY/ETC (M),A,6,IMPERSONATE STATE DEPUTY/ETC (M) - A,0
INVADE PRIVACY:ILL USE OF ELEC TRACK DEVICE (M),A,5,INVADE PRIVACY:ILL USE OF ELEC TRACK DEVICE (M) - A,0
INVADE PRIVACY:USE OF ELECTRONIC TRACKING DEVICE,A,1,INVADE PRIVACY:USE OF ELECTRONIC TRACKING DEVICE - A,0
KIDNAP BY FORCE/FRAUD:BRING WITHIN STATE LIMITS (F),A,1,KIDNAP BY FORCE/FRAUD:BRING WITHIN STATE LIMITS (F) - A,0
KIDNAP TO COMMIT ROBBERY/RAPE/289 PC (F),A,2,KIDNAP TO COMMIT ROBBERY/RAPE/289 PC (F) - A,1
KIDNAPPING,A,8,KIDNAPPING - A,0
KIDNAPPING (F),A,35,KIDNAPPING (F) - A,0
KNOWINGLY GIVE FALSE INFORMATION TO OFFICER (M),A,1,KNOWINGLY GIVE FALSE INFORMATION TO OFFICER (M) - A,0
LANE USAGE: SOLID/BROKEN DOUBLE YELLOW LINE VIOL (I),A,1,LANE USAGE: SOLID/BROKEN DOUBLE YELLOW LINE VIOL (I) - A,0
LOST OR MUTILATED ID PLATE OR CERTIFICATE (I),A,4,LOST OR MUTILATED ID PLATE OR CERTIFICATE (I) - A,0
MAKE ANNOYING TELEPHONE CALLS,A,3,MAKE ANNOYING TELEPHONE CALLS - A,0
MANAGE/ETC PHARMACY/DISPENSE PRESCRIPTION/ETC W/O REGISTRATION,A,1,MANAGE/ETC PHARMACY/DISPENSE PRESCRIPTION/ETC W/O REGISTRATION - A,0
MINOR CONSUMING ALCOHOL - NOT IN PUBLIC (M),A,1,MINOR CONSUMING ALCOHOL - NOT IN PUBLIC (M) - A,0
MINOR ILLEGALLY POSSESS LIVE AMMUNITION (M),A,4,MINOR ILLEGALLY POSSESS LIVE AMMUNITION (M) - A,0
MISD CITE AND RELEASE ON ACTIVE WARRANT (M),A,2,MISD CITE AND RELEASE ON ACTIVE WARRANT (M) - A,0
MISDEMEANOR BENCH WARRANT (OUR AGENCY),A,1843,MISDEMEANOR BENCH WARRANT (OUR AGENCY) - A,0
NO REGISTRATION:VEHICLE/TRAILER/ETC (I),A,2,NO REGISTRATION:VEHICLE/TRAILER/ETC (I) - A,0
OPEN ALCOHOLIC BEV CONTAINERS PROHIBITED ON POSTED CONTAINERS (I),A,1,OPEN ALCOHOLIC BEV CONTAINERS PROHIBITED ON POSTED CONTAINERS (I) - A,0
OPEN CONTAINER ALC IN VEH - DRIVER (I),A,2,OPEN CONTAINER ALC IN VEH - DRIVER (I) - A,0
PASSING: UNSAFE PASSING ON RIGHT OR ON SHOULDER (I),A,2,PASSING: UNSAFE PASSING ON RIGHT OR ON SHOULDER (I) - A,0
PEEPING WITH INTENT TO INVADE PRIVACY,A,1,PEEPING WITH INTENT TO INVADE PRIVACY - A,0
POSS SHOPPING/LAUNDRY CART (M),A,10,POSS SHOPPING/LAUNDRY CART (M) - A,0
POSS SHOPPING/LAUNDRY CARTS (Not on Premises) (M),A,195,POSS SHOPPING/LAUNDRY CARTS (Not on Premises) (M) - A,0
POSS STOLEN VEH/VESSEL (F),A,194,POSS STOLEN VEH/VESSEL (F) - A,0
POSSESS STOLEN VEHICLE/VESSEL/ETC,A,3,POSSESS STOLEN VEHICLE/VESSEL/ETC - A,0
POSSESS STOLEN VEHICLE/VESSEL/ETC (M),A,14,POSSESS STOLEN VEHICLE/VESSEL/ETC (M) - A,0
POSSESS SWITCHBLADE IN VEHICLE (M),A,4,POSSESS SWITCHBLADE IN VEHICLE (M) - A,0
POSSESS/ETC FOR SALE/ETC CIGARETTES W/O STAMP/ETC (M),A,2,POSSESS/ETC FOR SALE/ETC CIGARETTES W/O STAMP/ETC (M) - A,0
POST RELEASE COMMUNITY SUPERVISION VIOLATION,A,1,POST RELEASE COMMUNITY SUPERVISION VIOLATION - A,0
PRCS VIOLATION,A,55,PRCS VIOLATION - A,0
PREVENT/DISUADE VICTIM/WITNESS,A,3,PREVENT/DISUADE VICTIM/WITNESS - A,0
PROMOTE/ASSIST FELONY CRIMINAL STREET GANG (F),A,1,PROMOTE/ASSIST FELONY CRIMINAL STREET GANG (F) - A,0
RAPE BY FORCE/FEAR/ETC (PRE-2007 CASES) (F),A,2,RAPE BY FORCE/FEAR/ETC (PRE-2007 CASES) (F) - A,1
RECEIVE/ETC KNOWN STOLEN PROPERTY,A,7,RECEIVE/ETC KNOWN STOLEN PROPERTY - A,0
RECEIVE/ETC KNOWN STOLEN PROPERTY ($950 OR LESS),A,2,RECEIVE/ETC KNOWN STOLEN PROPERTY ($950 OR LESS) - A,0
RECEIVE/ETC KNOWN STOLEN PROPERTY (F),A,87,RECEIVE/ETC KNOWN STOLEN PROPERTY (F) - A,0
RECEIVE/ETC KNOWN STOLEN PROPERTY [$950 OR LESS] (M),A,58,RECEIVE/ETC KNOWN STOLEN PROPERTY [$950 OR LESS] (M) - A,0
REFUSE:TO SIGN/BE FINGERPRINTED/NO IDENTIFICATION (I),A,2,REFUSE:TO SIGN/BE FINGERPRINTED/NO IDENTIFICATION (I) - A,0
REMOVE SHOPPING/LAUNDRY CART (M),A,7,REMOVE SHOPPING/LAUNDRY CART (M) - A,0
RIGHT-OF-WAY: ENTERING OR CROSSING INTERSECTION (I),A,1,RIGHT-OF-WAY: ENTERING OR CROSSING INTERSECTION (I) - A,0
SPEED CONTEST/RECKLESS DRIVIING (I),A,1,SPEED CONTEST/RECKLESS DRIVIING (I) - A,0
STALKING,A,11,STALKING - A,0
STALKING (F),A,4,STALKING (F) - A,0
STATE OF EMERGENCY VIOLATION (M),A,128,STATE OF EMERGENCY VIOLATION (M) - A,0
TAKE MARKED CART FROM RETAIL ESTABLISHMENT (M),A,9,TAKE MARKED CART FROM RETAIL ESTABLISHMENT (M) - A,0
TERRORIST THREATS THAT INTERFERES WITH ESSENTIAL PUBLIC SERVICES,A,1,TERRORIST THREATS THAT INTERFERES WITH ESSENTIAL PUBLIC SERVICES - A,0
THREATEN WITH LASER SCOPE WITH INTENT TO CAUSE FEAR (M),A,1,THREATEN WITH LASER SCOPE WITH INTENT TO CAUSE FEAR (M) - A,0
THREATENING LETTER W/INTENT TO EXTORT (F),A,3,THREATENING LETTER W/INTENT TO EXTORT (F) - A,0
THREATS ACCUSING OF CRIME TO EXTORT,A,1,THREATS ACCUSING OF CRIME TO EXTORT - A,0
THROW SUBSTANCE AT VEHICLE,A,14,THROW SUBSTANCE AT VEHICLE - A,0
TRESPASS:REFUSE LEAVE PROPERTY:PEACE OFFICER/OWNER REQUEST,A,26,TRESPASS:REFUSE LEAVE PROPERTY:PEACE OFFICER/OWNER REQUEST - A,0
TRESPASS:REFUSE TO LEAVE PROPERTY:OWNER REQUEST (M),A,58,TRESPASS:REFUSE TO LEAVE PROPERTY:OWNER REQUEST (M) - A,0
TRESPASS:REFUSE TO LEAVE PROPERTY:PEACE OFFICER REQUEST (M),A,108,TRESPASS:REFUSE TO LEAVE PROPERTY:PEACE OFFICER REQUEST (M) - A,0
TRESPASSING-ENTER/OCCUPY PROPERTY W/O CONSENT,A,1,TRESPASSING-ENTER/OCCUPY PROPERTY W/O CONSENT - A,0
TRESPASSING/POSTED LAND/REFUSE TO LEAVE WHEN TOLD,A,2,TRESPASSING/POSTED LAND/REFUSE TO LEAVE WHEN TOLD - A,0
UNAUTH ACC COMPUTER SYS [OVER $5000 VIC COST] (F),A,1,UNAUTH ACC COMPUTER SYS [OVER $5000 VIC COST] (F) - A,0
UNAUTH COPY/USE COMPUTER DATA (F),A,2,UNAUTH COPY/USE COMPUTER DATA (F) - A,0
UNAUTH USE/OBLITERATE DAIRY BRAND REG [$400 OR LESS] (M),A,11,UNAUTH USE/OBLITERATE DAIRY BRAND REG [$400 OR LESS] (M) - A,0
UNAUTHORIZED COPY/USE COMPUTER DATA,A,1,UNAUTHORIZED COPY/USE COMPUTER DATA - A,0
UNKNOWN/INVALID CHARGE,A,5,UNKNOWN/INVALID CHARGE - A,0
UNSAFE TURNING MOVEMENT (I),A,1,UNSAFE TURNING MOVEMENT (I) - A,0
USE MINOR UNDER 16 OBSCENE MATTER,A,1,USE MINOR UNDER 16 OBSCENE MATTER - A,0
VEH MANSLAUGHTER W/O GROSS NEGLIGENCE (M),A,15,VEH MANSLAUGHTER W/O GROSS NEGLIGENCE (M) - A,0
VEHICLE REGISTRATION EXPIRED OVER 6 MONTHS (I),A,8,VEHICLE REGISTRATION EXPIRED OVER 6 MONTHS (I) - A,0
VESSEL HIT AND RUN (DEATH OR DISAPPEARANCE) (F),A,1,VESSEL HIT AND RUN (DEATH OR DISAPPEARANCE) (F) - A,0
VESSEL HIT AND RUN (PROPERTY DAMAGE) (M),A,1,VESSEL HIT AND RUN (PROPERTY DAMAGE) (M) - A,0
VIOLATE LOCAL EMERGENCY ORDER (I),A,3,VIOLATE LOCAL EMERGENCY ORDER (I) - A,0
VIOLATE LOCAL EMERGENCY ORDER (M),A,27,VIOLATE LOCAL EMERGENCY ORDER (M) - A,0
VIOLATE ORDER SPECIFIED BEHAVIOR,A,6,VIOLATE ORDER SPECIFIED BEHAVIOR - A,0
VIOLATE ORDER TO DO PERSON HARM,A,1,VIOLATE ORDER TO DO PERSON HARM - A,0
VIOLATE ORDER TO ENTER PREMISES,A,1,VIOLATE ORDER TO ENTER PREMISES - A,0
VIOLENT FELON POSSESS/OWN/PURCHASE BODY ARMOR (F),A,4,VIOLENT FELON POSSESS/OWN/PURCHASE BODY ARMOR (F) - A,0
CHILD CRUELTY/FELONY,C,7,CHILD CRUELTY/FELONY - C,0
CHILD CRUELTY/MISD,C,28,CHILD CRUELTY/MISD - C,0
CHILD STEALING,C,1,CHILD STEALING - C,0
CHILD STEALING (F),C,8,CHILD STEALING (F) - C,0
CRUELTY TO CHILD WITH POSSIBLE INJURY OR DEATH,C,2,CRUELTY TO CHILD WITH POSSIBLE INJURY OR DEATH - C,0
CURFEW,C,1,CURFEW - C,0
CURFEW (I),C,131,CURFEW (I) - C,0
CUSTODIAN/ETC ASSAULT CHILD <8:RESULT:GREAT BODILY INJ/DEATH,C,3,CUSTODIAN/ETC ASSAULT CHILD <8:RESULT:GREAT BODILY INJ/DEATH - C,0
INFLICT INJURY ON CHILD,C,2,INFLICT INJURY ON CHILD - C,0
INFLICT SERIOUS INJ UPON A CHILD (F),C,2,INFLICT SERIOUS INJ UPON A CHILD (F) - C,0
MINOR IN POSSESSION OF TOBACCO (M),C,6,MINOR IN POSSESSION OF TOBACCO (M) - C,0
PARENT RECEIVED MULTIPLE PAY/ETC:ADOPTION,C,2,PARENT RECEIVED MULTIPLE PAY/ETC:ADOPTION - C,0
USE MINOR FOR OBSCENE MATTER (M),C,1,USE MINOR FOR OBSCENE MATTER (M) - C,0
VIOL COURT ORDER TO PREVENT DOMESTIC VIOL W/PHYSICAL INJ (M),C,38,VIOL COURT ORDER TO PREVENT DOMESTIC VIOL W/PHYSICAL INJ (M) - C,0
VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE (PRIOR CONVT),C,3,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE (PRIOR CONVT) - C,0
VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE W/PRIOR,C,5,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE W/PRIOR - C,0
VIOLATION OF CUSTODY DECREE,C,1,VIOLATION OF CUSTODY DECREE - C,0
WILLFUL CRUELTY TO CHILD WITHOUT GBI,C,18,WILLFUL CRUELTY TO CHILD WITHOUT GBI - C,0
WILLFUL CRUELTY TO CHILD: WITH INJURY/DEATH (F),C,26,WILLFUL CRUELTY TO CHILD: WITH INJURY/DEATH (F) - C,0
WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,C,7,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH - C,0
ALTER/REMOVE/ETC IDENTIFICATION MARKS ON FIREARM (F),D,7,ALTER/REMOVE/ETC IDENTIFICATION MARKS ON FIREARM (F) - D,0
ATTEMPTED MURDER/DEGREE UNSPECIFIED,D,1,ATTEMPTED MURDER/DEGREE UNSPECIFIED - D,1
CARRY A LOADED CONCEALED WEAPON ON PERSON (F),D,2,CARRY A LOADED CONCEALED WEAPON ON PERSON (F) - D,0
CARRY A LOADED CONCEALED WEAPON ON PERSON (M),D,2,CARRY A LOADED CONCEALED WEAPON ON PERSON (M) - D,0
CARRY CONCEALED DIRK OR DAGGER (F),D,280,CARRY CONCEALED DIRK OR DAGGER (F) - D,0
CARRY CONCEALED DIRK OR DAGGER (M),D,23,CARRY CONCEALED DIRK OR DAGGER (M) - D,0
CARRY CONCEALED EXPLOSIVE SUBSTANCE (F),D,1,CARRY CONCEALED EXPLOSIVE SUBSTANCE (F) - D,0
CARRY CONCEALED STOLEN WEAPON (F),D,8,CARRY CONCEALED STOLEN WEAPON (F) - D,0
CARRY CONCEALED WEAPON IN VEHICLE (F),D,49,CARRY CONCEALED WEAPON IN VEHICLE (F) - D,0
CARRY CONCEALED WEAPON IN VEHICLE (M),D,21,CARRY CONCEALED WEAPON IN VEHICLE (M) - D,0
CARRY CONCEALED WEAPON IN VEHICLE W/PRIOR CONVICTION (F),D,1,CARRY CONCEALED WEAPON IN VEHICLE W/PRIOR CONVICTION (F) - D,0
CARRY CONCEALED WEAPON IN VEHICLE:OCCUPANT (F),D,5,CARRY CONCEALED WEAPON IN VEHICLE:OCCUPANT (F) - D,0
CARRY CONCEALED WEAPON IN VEHICLE:OCCUPANT (M,D,1,CARRY CONCEALED WEAPON IN VEHICLE:OCCUPANT (M - D,0
CARRY CONCEALED WEAPON ON PERSON (F),D,25,CARRY CONCEALED WEAPON ON PERSON (F) - D,0
CARRY CONCEALED WEAPON ON PERSON (M),D,16,CARRY CONCEALED WEAPON ON PERSON (M) - D,0
CARRY CONCEALED WEAPON PROHIBITED CLASS/UNLAWFUL POSSESSION (F),D,7,CARRY CONCEALED WEAPON PROHIBITED CLASS/UNLAWFUL POSSESSION (F) - D,0
CARRY CONCEALED WEAPON WHILE ACTIVE IN CRIMINAL STREET GANG (F),D,2,CARRY CONCEALED WEAPON WHILE ACTIVE IN CRIMINAL STREET GANG (F) - D,0
CARRY LOADED FIREARM IN PUBLIC UNDER SPECIFIC CIRCUMSTANCES (F),D,3,CARRY LOADED FIREARM IN PUBLIC UNDER SPECIFIC CIRCUMSTANCES (F) - D,0
CARRY LOADED FIREARM ON/IN PERSON/VEHICLE:PUBLIC PLACE (M),D,19,CARRY LOADED FIREARM ON/IN PERSON/VEHICLE:PUBLIC PLACE (M) - D,0
CARRY LOADED FIREARM WITH INTENT TO COMMIT A FELONY (F),D,1,CARRY LOADED FIREARM WITH INTENT TO COMMIT A FELONY (F) - D,0
CARRY LOADED FIREARM:UNLAWFUL/PROHIBITED POSSESSION (F),D,5,CARRY LOADED FIREARM:UNLAWFUL/PROHIBITED POSSESSION (F) - D,0
CARRY LOADED HANDGUN:NOT REGISTERED OWNER (F),D,38,CARRY LOADED HANDGUN:NOT REGISTERED OWNER (F) - D,0
CARRY STOLEN LOADED FIREARM (F),D,5,CARRY STOLEN LOADED FIREARM (F) - D,0
CONVICTED FELON POSSESS/PURCHASE/USE/ETC TEAR GAS (F),D,2,CONVICTED FELON POSSESS/PURCHASE/USE/ETC TEAR GAS (F) - D,0
CONVICTED PERSON POSS/OWN/ETC FIREARM:PROBATION RESTRICTION (F),D,4,CONVICTED PERSON POSS/OWN/ETC FIREARM:PROBATION RESTRICTION (F) - D,0
CONVICTED PERSON POSSESS/ETC FIREARM WHILE UNDER AGE 30 (F),D,5,CONVICTED PERSON POSSESS/ETC FIREARM WHILE UNDER AGE 30 (F) - D,0
CONVICTED PERSON POSSESS/OWN/ETC FIREARM (F),D,17,CONVICTED PERSON POSSESS/OWN/ETC FIREARM (F) - D,0
CONVICTED PERSON POSSESS/OWN/ETC FIREARM:SPECIFIC PRIORS (F),D,4,CONVICTED PERSON POSSESS/OWN/ETC FIREARM:SPECIFIC PRIORS (F) - D,0
CRIMINAL STORAGE OF FIREARM:THIRD DEGREE (M),D,1,CRIMINAL STORAGE OF FIREARM:THIRD DEGREE (M) - D,0
CRIMINAL STREET GANG MEMBER CARRY LOADED FIREARM (F),D,2,CRIMINAL STREET GANG MEMBER CARRY LOADED FIREARM (F) - D,0
DISCHARGE FIREARM AT UNOCCUPIED MOTOR VEHICLE/DWELLING/BLDG.,D,17,DISCHARGE FIREARM AT UNOCCUPIED MOTOR VEHICLE/DWELLING/BLDG. - D,0
DISPLAY/EXPOSE IN PUBLIC PLACE IMITATION FIREARM (I),D,4,DISPLAY/EXPOSE IN PUBLIC PLACE IMITATION FIREARM (I) - D,0
DISPLAY/EXPOSE IN PUBLIC PLACE IMITATION FIREARM (M),D,2,DISPLAY/EXPOSE IN PUBLIC PLACE IMITATION FIREARM (M) - D,0
FELON POSSESS/BUY/USE STUN GUN (M),D,18,FELON POSSESS/BUY/USE STUN GUN (M) - D,0
FELON/ADDICT/POSSESS/ETC FIREARM (F),D,246,FELON/ADDICT/POSSESS/ETC FIREARM (F) - D,0
HANDGUN IN UNATTENDED VEHICLE (I),D,2,HANDGUN IN UNATTENDED VEHICLE (I) - D,0
ILL USE OF TEAR GAS/TEAR GAS WEAPON (F),D,1,ILL USE OF TEAR GAS/TEAR GAS WEAPON (F) - D,0
ILL USE OF TEAR GAS/TEAR GAS WEAPON (M),D,1,ILL USE OF TEAR GAS/TEAR GAS WEAPON (M) - D,0
ILLEGAL USE OF TEAR GAS / TEAR GAS WEAPON (M),D,3,ILLEGAL USE OF TEAR GAS / TEAR GAS WEAPON (M) - D,0
ILLEGALLY POSSESS ANY ASSAULT WEAPON (F),D,7,ILLEGALLY POSSESS ANY ASSAULT WEAPON (F) - D,0
MAKE DESTRUCTIVE DEVICE W/O PERMIT (F),D,1,MAKE DESTRUCTIVE DEVICE W/O PERMIT (F) - D,0
MANUFACTURE/SALE/POSSESS UNDETECTABLE FIREARM (F),D,1,MANUFACTURE/SALE/POSSESS UNDETECTABLE FIREARM (F) - D,0
MANUFACTURE/SALE/POSSESS/ETC AIR GAUGE KNIFE (F),D,1,MANUFACTURE/SALE/POSSESS/ETC AIR GAUGE KNIFE (F) - D,0
MANUFACTURE/SALE/POSSESS/ETC CANE SWORD (F),D,2,MANUFACTURE/SALE/POSSESS/ETC CANE SWORD (F) - D,0
MANUFACTURE/SALE/POSSESS/ETC LARGE CAPACITY MAGAZINE (F),D,11,MANUFACTURE/SALE/POSSESS/ETC LARGE CAPACITY MAGAZINE (F) - D,0
MANUFACTURE/SALE/POSSESS/ETC LEADED CANE/BILLY/ETC (F),D,87,MANUFACTURE/SALE/POSSESS/ETC LEADED CANE/BILLY/ETC (F) - D,0
MANUFACTURE/SALE/POSSESS/ETC LEADED CANE/BILLY/ETC (M),D,7,MANUFACTURE/SALE/POSSESS/ETC LEADED CANE/BILLY/ETC (M) - D,0
MANUFACTURE/SALE/POSSESS/ETC METAL KNUCKLES (F),D,51,MANUFACTURE/SALE/POSSESS/ETC METAL KNUCKLES (F) - D,0
MANUFACTURE/SALE/POSSESS/ETC METAL KNUCKLES (M),D,10,MANUFACTURE/SALE/POSSESS/ETC METAL KNUCKLES (M) - D,0
MANUFACTURE/SALE/POSSESS/ETC NUNCHAKU (F),D,5,MANUFACTURE/SALE/POSSESS/ETC NUNCHAKU (F) - D,0
MANUFACTURE/SALE/POSSESS/ETC SHURIKEN (F),D,7,MANUFACTURE/SALE/POSSESS/ETC SHURIKEN (F) - D,0
MFG/ETC LEADED CANE/ETC (F),D,1,MFG/ETC LEADED CANE/ETC (F) - D,0
MFG/IMPORT/ETC SHORT BARRELED RIFLE (F),D,4,MFG/IMPORT/ETC SHORT BARRELED RIFLE (F) - D,0
MFG/SALE/ETC METAL KNUCKLES (F),D,2,MFG/SALE/ETC METAL KNUCKLES (F) - D,0
MFG/SALE/POSS SHURIKEN (F),D,1,MFG/SALE/POSS SHURIKEN (F) - D,0
MFG/SELL/TRANS/ETC ASSAULT WEAPON (F),D,2,MFG/SELL/TRANS/ETC ASSAULT WEAPON (F) - D,0
MINOR ILLEGALLY POSSESS CONCEALED WEAPON (M),D,1,MINOR ILLEGALLY POSSESS CONCEALED WEAPON (M) - D,0
NARCOTIC ADDICT POSSESS/PURCHASE/USE/ETC TEARGAS/TEARGAS (M),D,1,NARCOTIC ADDICT POSSESS/PURCHASE/USE/ETC TEARGAS/TEARGAS (M) - D,0
POSS/ETC FIREARM:SPECIFIC FELONY CONVICTION:MINOR AS ADULT (F),D,1,POSS/ETC FIREARM:SPECIFIC FELONY CONVICTION:MINOR AS ADULT (F) - D,0
POSSES TEAR GAS/WEAPON (F),D,3,POSSES TEAR GAS/WEAPON (F) - D,0
POSSESS DEADLY WEAPON WITH INTENT TO COMMIT ASSAULT (M),D,1,POSSESS DEADLY WEAPON WITH INTENT TO COMMIT ASSAULT (M) - D,0
POSSESS DESTRUCTIVE DEVICE (F),D,1,POSSESS DESTRUCTIVE DEVICE (F) - D,0
POSSESS LARGE CAPACITY MAGAZINE (M),D,2,POSSESS LARGE CAPACITY MAGAZINE (M) - D,0
POSSESS OF AMMUNITION BY PROHIBITED PERSON (F),D,2,POSSESS OF AMMUNITION BY PROHIBITED PERSON (F) - D,0
